club,Day,series,Fleet,sailNumber,boatName,firstName,lastName,Races,totalPoints,scoringPoints
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,"[{},{},{}]",Nlounge,Honor,Hardaway,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,"[{},{},{},{}]",Kwilith,Roberta,Borrott,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,[{}],Browsecat,Lacy,Dast,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,"[{},{},{},{}]",Omba,Sybyl,Braker,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,"[{},{}]",Kare,Jules,Hoppner,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,"[{},{}]",Kare,Evvie,Scottrell,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,"[{},{}]",Flashspan,Ewan,Salvidge,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,[{}],Chatterbridge,Tanhya,Callf,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,[{}],Agivu,Bette,Pikett,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,"[{},{},{},{},{}]",Skaboo,Falito,Staterfield,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
